                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2484,                 2.0314,                 1.6033,                0.93343,                0.88321,                0.95119,                0.76531,                 1.6185,                 1.1831,                 2.8078,              0.0033304,              0.0033304,              0.0033304
                      2,                0.87398,                 1.0226,                 1.2686,                0.93765,                0.94134,                0.96743,                0.81445,                 1.5227,                0.88145,                  2.854,              0.0066418,              0.0066418,              0.0066418
                      3,                0.85119,                0.84804,                   1.24,                0.94466,                0.90655,                0.95925,                0.80317,                 1.5552,                 0.8858,                 2.7969,              0.0099311,              0.0099311,              0.0099311
                      4,                0.82166,                0.72601,                 1.2204,                0.95418,                0.93171,                0.96932,                0.84385,                 1.4933,                0.72151,                 2.7725,               0.009901,               0.009901,               0.009901
                      5,                0.75097,                0.62484,                 1.1741,                 0.9684,                0.95006,                 0.9731,                0.87201,                 1.4307,                0.66957,                 2.6652,               0.009901,               0.009901,               0.009901
                      6,                 0.6974,                0.56545,                 1.1382,                0.96658,                0.95561,                0.97479,                0.86911,                 1.4148,                 0.6303,                  2.567,               0.009868,               0.009868,               0.009868
                      7,                0.66298,                0.52834,                 1.1176,                0.97618,                0.96357,                0.97668,                0.89001,                 1.3455,                0.57607,                 2.7026,               0.009835,               0.009835,               0.009835
                      8,                 0.6324,                0.49948,                 1.0999,                0.97713,                0.95549,                0.97292,                0.89733,                 1.3258,                 0.5311,                 2.6172,               0.009802,               0.009802,               0.009802
                      9,                0.61081,                0.48119,                  1.088,                0.97775,                0.95833,                0.97672,                0.90217,                 1.3088,                0.53625,                 2.6063,               0.009769,               0.009769,               0.009769
                     10,                0.59187,                0.46632,                 1.0766,                 0.9791,                0.95741,                0.97666,                0.91047,                 1.3006,                0.54639,                 2.6792,               0.009736,               0.009736,               0.009736
                     11,                0.57812,                0.45173,                 1.0651,                0.98134,                0.95753,                0.97684,                0.91675,                 1.2667,                0.51144,                 2.5694,               0.009703,               0.009703,               0.009703
                     12,                0.56171,                0.43991,                 1.0589,                0.98362,                0.96153,                 0.9698,                0.91486,                 1.2828,                0.51944,                 2.6527,                0.00967,                0.00967,                0.00967
                     13,                 0.5555,                0.43269,                 1.0538,                0.98219,                0.95726,                0.97292,                0.91638,                 1.2727,                0.51561,                 2.7428,               0.009637,               0.009637,               0.009637
                     14,                0.54245,                0.42413,                 1.0454,                0.98184,                0.96034,                 0.9693,                 0.9208,                  1.267,                 0.5086,                 2.6501,               0.009604,               0.009604,               0.009604
                     15,                 0.5326,                0.41704,                 1.0409,                0.98547,                0.95802,                0.97185,                 0.9268,                 1.2548,                0.50739,                 2.7363,               0.009571,               0.009571,               0.009571
